ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
213906_at	0.193	0.00046744	3.937717	-0.1207	1.0406686	MYBL1	MYB proto-oncogene like 1
219649_at	0.193	0.0004813	3.926961	-0.1448	0.4904731	ALG6	ALG6, alpha-1,3-glucosyltransferase
203080_s_at	0.193	0.00048491	3.924206	-0.151	0.880901	BAZ2B	bromodomain adjacent to zinc finger domain 2B
212719_at	0.194	0.00049572	3.916081	-0.1692	0.3555059	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1
219383_at	0.195	0.00051007	3.905565	-0.1927	0.7965387	PRR5L	proline rich 5 like
216266_s_at	0.195	0.00051686	3.900686	-0.2036	0.6451965	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
211825_s_at	0.195	0.00052565	3.894466	-0.2175	0.5745426	FLI1	Fli-1 proto-oncogene, ETS transcription factor
213684_s_at	0.195	0.00053512	3.887871	-0.2322	0.636929	PDLIM5	PDZ and LIM domain 5
218984_at	0.198	0.00055061	3.877337	-0.2558	0.6332417	PUS7	pseudouridylate synthase 7 (putative)
206369_s_at	0.206	0.00058155	3.857131	-0.3009	0.5010989	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
201086_x_at	0.208	0.00060123	3.844815	-0.3283	0.6520632	SON	SON DNA binding protein
212680_x_at	0.208	0.00060729	-3.841107	-0.3366	-0.4812141	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
214977_at	0.211	0.00063533	-3.824389	-0.3738	-0.5894204		
205875_s_at	0.211	0.00063866	-3.822451	-0.3781	-0.5878173	ATRIP///TREX1	ATR interacting protein///three prime repair exonuclease 1
206546_at	0.211	0.0006541	3.813597	-0.3978	0.4096505	SYCP2	synaptonemal complex protein 2
221101_at	0.211	0.00067813	-3.800214	-0.4276	-0.4328416		
206448_at	0.211	0.00069227	3.792556	-0.4446	0.4385592	ZNF365	zinc finger protein 365
210955_at	0.211	0.00071352	-3.781326	-0.4696	-0.3591393	CASP10	caspase 10
203158_s_at	0.211	0.00071541	3.780342	-0.4717	0.5330608	GLS	glutaminase
220560_at	0.211	0.00073671	3.76944	-0.4959	0.508644	C11orf21	chromosome 11 open reading frame 21
210123_s_at	0.211	0.00073894	-3.768315	-0.4984	-0.3630505	LOC101930361///LOC101929970///CHRFAM7A///CHRNA7	uncharacterized LOC101930361///CHRNA7-FAM7A fusion protein///CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion///cholinergic receptor nicotinic alpha 7 subunit
206618_at	0.211	0.00073962	3.767974	-0.4992	0.9626515	IL18R1	interleukin 18 receptor 1
204161_s_at	0.211	0.00074454	3.765508	-0.5047	0.6211726	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
212539_at	0.211	0.00078056	3.747927	-0.5436	0.2994748	CHD1L	chromodomain helicase DNA binding protein 1 like
204487_s_at	0.211	0.00079106	-3.742952	-0.5547	-0.4593454	KCNQ1	potassium voltage-gated channel subfamily Q member 1
214975_s_at	0.211	0.00081667	3.731078	-0.5809	0.6703049	MTMR1	myotubularin related protein 1
211865_s_at	0.211	0.0008232	-3.728108	-0.5875	-0.4778197	FZR1	fizzy/cell division cycle 20 related 1
219675_s_at	0.211	0.00083411	3.723198	-0.5984	0.3558503	UXS1	UDP-glucuronate decarboxylase 1
212678_at	0.211	0.00083597	3.72237	-0.6002	0.6377926	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1
203482_at	0.211	0.00089874	3.695341	-0.6599	0.8328381	SLF2	SMC5-SMC6 complex localization factor 2
201472_at	0.211	0.00090334	3.693431	-0.6641	0.3941115	VBP1	VHL binding protein 1
209815_at	0.211	0.00090586	3.692392	-0.6664	0.9946945	PTCH1	patched 1
206599_at	0.211	0.00090845	-3.691324	-0.6688	-0.3210534	SLC16A5	solute carrier family 16 member 5
201393_s_at	0.211	0.00091598	3.688238	-0.6756	0.4546602	IGF2R	insulin like growth factor 2 receptor
204552_at	0.211	0.00091681	3.687901	-0.6763	0.4847704	INPP4A	inositol polyphosphate-4-phosphatase type I A
201362_at	0.211	0.00093208	3.681722	-0.69	0.4429876	IVNS1ABP	influenza virus NS1A binding protein
221939_at	0.211	0.00094358	-3.677136	-0.7001	-0.477055	YIPF2	Yip1 domain family member 2
219732_at	0.211	0.00094895	-3.675012	-0.7048	-0.2294723	PLPPR1	phospholipid phosphatase related 1
200640_at	0.211	0.00095806	3.671435	-0.7126	0.2788244	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
215806_x_at	0.211	0.00096606	3.668324	-0.7195	0.7903929	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
219361_s_at	0.211	0.0009669	-3.667998	-0.7202	-0.4317917	AEN	apoptosis enhancing nuclease
220613_s_at	0.211	0.00098888	3.659581	-0.7387	0.5843655	SYTL2	synaptotagmin like 2
206771_at	0.211	0.00099446	-3.657471	-0.7434	-0.5301325	UPK3A	uroplakin 3A
209813_x_at	0.211	0.00101793	3.648728	-0.7626	0.8325948	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
205245_at	0.211	0.00102608	-3.645738	-0.7692	-0.4160617	PARD6A	par-6 family cell polarity regulator alpha
210993_s_at	0.211	0.0010414	-3.640179	-0.7814	-0.612472	SMAD1	SMAD family member 1
215672_s_at	0.211	0.00105974	3.633628	-0.7958	0.3407492	AHCYL2	adenosylhomocysteinase like 2
218246_at	0.211	0.00106813	-3.630669	-0.8023	-0.3129663	MUL1	mitochondrial E3 ubiquitin protein ligase 1
218806_s_at	0.211	0.00108189	3.625863	-0.8129	0.5220597	VAV3	vav guanine nucleotide exchange factor 3
204382_at	0.211	0.00109706	-3.620632	-0.8244	-0.2221689	NAT9	N-acetyltransferase 9 (putative)
203565_s_at	0.211	0.00109994	3.619648	-0.8265	0.4613417	MNAT1	MNAT1, CDK activating kinase assembly factor
214813_at	0.211	0.00110045	3.619472	-0.8269	0.4971673	ZNF75D	zinc finger protein 75D
212163_at	0.211	0.0011093	3.616462	-0.8335	0.7152236	KIDINS220	kinase D-interacting substrate 220kDa
200833_s_at	0.211	0.00111486	3.614583	-0.8376	0.2893334	RAP1B	RAP1B, member of RAS oncogene family
202429_s_at	0.211	0.00112196	3.612196	-0.8429	0.5997357	PPP3CA	protein phosphatase 3 catalytic subunit alpha
AFFX-r2-Bs-lys-3_at	0.211	0.00114008	-3.606173	-0.8561	-0.8155962		
216141_at	0.211	0.00114474	-3.604641	-0.8594	-0.3600304		
200076_s_at	0.211	0.00115181	-3.602324	-0.8645	-0.3816861	KXD1	KxDL motif containing 1
202742_s_at	0.211	0.00115704	3.60062	-0.8683	0.7787166	PRKACB	protein kinase cAMP-activated catalytic subunit beta
207710_at	0.211	0.00116212	-3.59897	-0.8719	-0.2159331	LCE2B	late cornified envelope 2B
202187_s_at	0.211	0.00116368	3.598467	-0.873	0.3506387	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
206827_s_at	0.211	0.00116771	-3.597165	-0.8758	-0.3734019	TRPV6	transient receptor potential cation channel subfamily V member 6
210114_at	0.211	0.00116804	3.597057	-0.8761	0.3889144	INVS	inversin
218108_at	0.211	0.00116942	3.596612	-0.877	0.3872001	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
219770_at	0.211	0.00117594	3.594521	-0.8816	0.3546042	GTDC1	glycosyltransferase like domain containing 1
203166_at	0.211	0.00118381	3.59201	-0.8871	0.5495684	CFDP1	craniofacial development protein 1
208347_at	0.211	0.00118843	-3.590542	-0.8903	-0.22897		
211144_x_at	0.211	0.00119982	3.586952	-0.8982	0.7738891	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
213195_at	0.211	0.00122411	-3.579398	-0.9147	-0.4121817	LYRM9	LYR motif containing 9
220416_at	0.211	0.00122479	3.579188	-0.9152	0.901692	ATP8B4	ATPase phospholipid transporting 8B4 (putative)
221069_s_at	0.211	0.0012398	-3.574598	-0.9252	-0.4460543	TACO1	translational activator of cytochrome c oxidase I
221141_x_at	0.211	0.00125205	-3.570892	-0.9333	-0.3884286	EPN1	epsin 1
205262_at	0.211	0.00125492	-3.570028	-0.9352	-0.4287625	KCNH2	potassium voltage-gated channel subfamily H member 2
221402_at	0.211	0.00126871	-3.565903	-0.9442	-0.2783029	OR1F1	olfactory receptor family 1 subfamily F member 1
215533_s_at	0.211	0.00131442	3.552543	-0.9734	0.5304275	UBE4B	ubiquitination factor E4B
211123_at	0.211	0.0013161	-3.552061	-0.9744	-0.3019366	SLC5A5	solute carrier family 5 member 5
214460_at	0.211	0.00131964	-3.551047	-0.9767	-0.3109919	LSAMP	limbic system-associated membrane protein
218896_s_at	0.211	0.00132705	3.548931	-0.9813	0.4363729	NCBP3	nuclear cap binding subunit 3
205469_s_at	0.211	0.001337	-3.546107	-0.9874	-0.7504296	IRF5	interferon regulatory factor 5
222323_at	0.211	0.00134365	-3.544234	-0.9915	-0.2834551		
210288_at	0.211	0.00135274	3.541686	-0.9971	0.6741695	KLRG1	killer cell lectin like receptor G1
217510_at	0.211	0.0013598	-3.539717	-1.0014	-0.256581	CRX	cone-rod homeobox
209515_s_at	0.211	0.00136329	3.538748	-1.0035	0.5273637	RAB27A	RAB27A, member RAS oncogene family
201795_at	0.211	0.00136967	3.536983	-1.0073	0.5926519	LBR	lamin B receptor
219298_at	0.211	0.00137094	-3.536631	-1.0081	-0.3684388	ECHDC3	enoyl-CoA hydratase domain containing 3
216293_at	0.211	0.0013727	-3.536147	-1.0091	-0.2973129	CLTA	clathrin light chain A
213755_s_at	0.211	0.00137929	-3.534336	-1.0131	-0.3459602	SKI	SKI proto-oncogene
219342_at	0.211	0.00139513	3.530014	-1.0225	0.7166854	CASD1	CAS1 domain containing 1
216624_s_at	0.211	0.00139848	3.529107	-1.0245	0.4892412	KMT2A	lysine methyltransferase 2A
210892_s_at	0.211	0.00140183	3.528203	-1.0265	0.4670093	GTF2I	general transcription factor IIi
212375_at	0.211	0.00141443	3.524814	-1.0338	0.4362134	EP400	E1A binding protein p400
212136_at	0.211	0.00142034	3.523237	-1.0373	0.5120122	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
212958_x_at	0.211	0.00142976	3.520734	-1.0427	0.4716215	PAM	peptidylglycine alpha-amidating monooxygenase
222294_s_at	0.211	0.0014311	3.520379	-1.0435	0.7553215	RAB27A	RAB27A, member RAS oncogene family
206013_s_at	0.211	0.00143587	-3.51912	-1.0462	-0.2382035	ACTL6B	actin like 6B
209269_s_at	0.211	0.00145944	3.512951	-1.0596	0.4448185	SYK	spleen associated tyrosine kinase
219556_at	0.211	0.00146406	-3.511754	-1.0622	-0.3378999	C16orf59	chromosome 16 open reading frame 59
206245_s_at	0.211	0.00147612	3.508645	-1.069	0.4735234	IVNS1ABP	influenza virus NS1A binding protein
218094_s_at	0.211	0.00147914	-3.507871	-1.0707	-0.3782181	SYS1-DBNDD2///SYS1///DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)///Sys1 golgi trafficking protein///dysbindin domain containing 2
207495_at	0.211	0.00148238	3.50704	-1.0725	0.3167229	RAB28	RAB28, member RAS oncogene family
209627_s_at	0.211	0.0014967	3.503395	-1.0804	0.5793554	OSBPL3	oxysterol binding protein like 3
204811_s_at	0.211	0.00151887	3.497818	-1.0925	0.3715307	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
219051_x_at	0.211	0.00152482	-3.496335	-1.0958	-0.3753576	METRN	meteorin, glial cell differentiation regulator
201334_s_at	0.211	0.00155248	3.489512	-1.1106	0.5532601	ARHGEF12	Rho guanine nucleotide exchange factor 12
200638_s_at	0.211	0.0015551	3.48887	-1.112	0.6176465	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
200996_at	0.211	0.00156528	3.486394	-1.1173	0.5242312	ACTR3	ARP3 actin related protein 3 homolog
212859_x_at	0.211	0.00158313	-3.482088	-1.1267	-0.4765577	MT1E	metallothionein 1E
217553_at	0.211	0.00158703	-3.481153	-1.1287	-0.2593282	STEAP1B	STEAP family member 1B
210084_x_at	0.211	0.00159678	-3.478824	-1.1337	-0.3427769	TPSAB1	tryptase alpha/beta 1
216920_s_at	0.211	0.00160559	3.476733	-1.1383	0.7875798	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
219294_at	0.211	0.00160664	3.476485	-1.1388	0.3795649	CENPQ	centromere protein Q
201503_at	0.211	0.00161266	3.475064	-1.1419	0.5395619	G3BP1	G3BP stress granule assembly factor 1
220684_at	0.211	0.00162635	3.471849	-1.1489	0.674538	TBX21	T-box 21
38703_at	0.211	0.00162836	-3.471379	-1.1499	-0.3414549	DNPEP	aspartyl aminopeptidase
221736_at	0.211	0.00163052	3.470876	-1.151	0.6646712	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit
221810_at	0.211	0.00163119	-3.47072	-1.1513	-0.2859764	RAB15	RAB15, member RAS oncogene family
214483_s_at	0.211	0.00163732	3.469293	-1.1544	0.713693	ARFIP1	ADP ribosylation factor interacting protein 1
211352_s_at	0.211	0.00164007	3.468654	-1.1558	0.5503301	NCOA3	nuclear receptor coactivator 3
216221_s_at	0.211	0.00164966	3.466438	-1.1606	0.522817	PUM2	pumilio RNA binding family member 2
203954_x_at	0.211	0.00165545	-3.465104	-1.1635	-0.2635593	CLDN3	claudin 3
204277_s_at	0.211	0.00168048	-3.459394	-1.1758	-0.3218278	TK2	thymidine kinase 2, mitochondrial
218765_at	0.211	0.00168676	-3.457974	-1.1789	-0.3762649	SIDT2	SID1 transmembrane family member 2
207840_at	0.211	0.00168869	3.457539	-1.1798	0.8305061	CD160	CD160 molecule
219664_s_at	0.211	0.00169401	-3.45634	-1.1824	-0.3484607	DECR2	2,4-dienoyl-CoA reductase 2, peroxisomal
203100_s_at	0.211	0.0017105	3.452651	-1.1904	0.4442559	CDYL	chromodomain Y-like
206691_s_at	0.211	0.00172735	-3.448917	-1.1985	-0.3218414	PDIA2	protein disulfide isomerase family A member 2
220371_s_at	0.211	0.00172999	-3.448336	-1.1997	-0.390797	SLC12A9	solute carrier family 12 member 9
201964_at	0.211	0.00175329	3.443237	-1.2108	0.8726302	SETX	senataxin
213567_at	0.211	0.00175981	3.441824	-1.2138	0.5059624	KPNA4	karyopherin subunit alpha 4
205617_at	0.211	0.00177088	-3.439431	-1.219	-0.2752797	PRRG2	proline rich and Gla domain 2
202761_s_at	0.211	0.00178011	3.437449	-1.2233	0.6926255	SYNE2	spectrin repeat containing nuclear envelope protein 2
219113_x_at	0.211	0.00179114	-3.435094	-1.2284	-0.4566671	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
208654_s_at	0.211	0.00179515	3.434241	-1.2302	0.4770954	CD164	CD164 molecule
211417_x_at	0.211	0.00179834	-3.433564	-1.2317	-0.3295543	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1
221618_s_at	0.211	0.00180586	3.43197	-1.2351	0.7519136	TAF9B	TATA-box binding protein associated factor 9b
209221_s_at	0.211	0.00183175	3.426537	-1.2468	0.3494394	OSBPL2	oxysterol binding protein like 2
211547_s_at	0.211	0.00186463	3.419744	-1.2615	0.6264627	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
212266_s_at	0.211	0.00186901	3.418847	-1.2634	0.5070887	SRSF5	serine and arginine rich splicing factor 5
211087_x_at	0.211	0.00187563	3.417497	-1.2663	0.4010181	MAPK14	mitogen-activated protein kinase 14
206060_s_at	0.211	0.00187988	3.416633	-1.2682	0.7805808	PTPN22	protein tyrosine phosphatase, non-receptor type 22
212944_at	0.211	0.00189479	3.413612	-1.2747	0.8341252	SLC5A3	solute carrier family 5 member 3
218172_s_at	0.211	0.00190637	3.411284	-1.2797	0.4260416	DERL1	derlin 1
221569_at	0.211	0.00191639	3.409281	-1.284	0.5081946	AHI1	Abelson helper integration site 1
204357_s_at	0.211	0.00194263	-3.40408	-1.2952	-0.3332543	LIMK1	LIM domain kinase 1
201936_s_at	0.211	0.00195348	3.401948	-1.2998	0.6196391	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
200605_s_at	0.211	0.00196971	3.398781	-1.3066	0.3820982	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha
205188_s_at	0.211	0.00197774	3.397225	-1.3099	0.3356068	SMAD5	SMAD family member 5
212402_at	0.211	0.00199327	3.394231	-1.3164	0.8932009	ZC3H13	zinc finger CCCH-type containing 13
205488_at	0.211	0.00201092	3.390854	-1.3236	0.7428851	GZMA	granzyme A
201992_s_at	0.211	0.00201963	3.389199	-1.3272	0.5205206	KIF5B	kinesin family member 5B
222250_s_at	0.211	0.00202765	3.387682	-1.3305	0.349113	INTS7	integrator complex subunit 7
207925_at	0.211	0.00202863	-3.387496	-1.3309	-0.3420058	CST5	cystatin D
205993_s_at	0.211	0.00203001	-3.387236	-1.3314	-0.2825496	TBX2	T-box 2
213405_at	0.211	0.00203002	3.387233	-1.3314	0.6175549	RAB22A	RAB22A, member RAS oncogene family
208155_x_at	0.211	0.00203076	-3.387094	-1.3317	-0.2957448	GAGE12D///GAGE12F///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE1	G antigen 12D///G antigen 12F///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 1
203031_s_at	0.211	0.00205978	-3.381657	-1.3434	-0.3375505	UROS	uroporphyrinogen III synthase
208215_x_at	0.211	0.0020613	-3.381373	-1.344	-0.2366315	DRD4	dopamine receptor D4
218208_at	0.211	0.00206706	-3.380303	-1.3463	-0.5187904	PQLC1	PQ loop repeat containing 1
216627_s_at	0.211	0.00206716	3.380284	-1.3463	0.5594652	B4GALT1	beta-1,4-galactosyltransferase 1
212257_s_at	0.211	0.00207695	3.378473	-1.3502	0.4625022	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
218938_at	0.211	0.00209972	-3.374291	-1.3592	-0.3744257	FBXL15	F-box and leucine rich repeat protein 15
221582_at	0.211	0.0021047	-3.373383	-1.3612	-0.4367759	HIST3H2A	histone cluster 3, H2a
209027_s_at	0.211	0.00210524	3.373285	-1.3614	0.4699085	ABI1	abl interactor 1
202668_at	0.211	0.00210944	3.372519	-1.363	0.1873936	EFNB2	ephrin B2
205427_at	0.211	0.00212003	3.370599	-1.3671	0.5895301	ZNF354A	zinc finger protein 354A
216056_at	0.211	0.00212173	3.37029	-1.3678	0.6998109	CD44	CD44 molecule (Indian blood group)
219644_at	0.211	0.00212645	3.369438	-1.3696	0.7137268	CEP83	centrosomal protein 83
201363_s_at	0.211	0.00212713	3.369316	-1.3699	0.499356	IVNS1ABP	influenza virus NS1A binding protein
217970_s_at	0.211	0.00212748	3.369252	-1.37	0.5416535	CNOT6	CCR4-NOT transcription complex subunit 6
211685_s_at	0.211	0.00215711	3.363943	-1.3814	0.4707629	NCALD	neurocalcin delta
218445_at	0.211	0.0022133	-3.354065	-1.4026	-0.2335946	H2AFY2	H2A histone family member Y2
216391_s_at	0.211	0.00221956	-3.352979	-1.4049	-0.2242584	KLHL1	kelch like family member 1
209470_s_at	0.211	0.00222523	3.351998	-1.407	0.4271424	GPM6A	glycoprotein M6A
221710_x_at	0.211	0.00222675	-3.351735	-1.4075	-0.3998226	EVA1B	eva-1 homolog B
204156_at	0.211	0.00223426	3.350441	-1.4103	0.5095203	SIK3	SIK family kinase 3
220384_at	0.211	0.00223721	3.349934	-1.4114	0.5188462	NME8	NME/NM23 family member 8
202781_s_at	0.211	0.00224511	-3.348578	-1.4143	-0.4177301	INPP5K	inositol polyphosphate-5-phosphatase K
203157_s_at	0.211	0.00224873	3.347959	-1.4156	0.4702482	GLS	glutaminase
208590_x_at	0.211	0.00226014	-3.346013	-1.4198	-0.2944664	GJA3	gap junction protein alpha 3
218711_s_at	0.211	0.00226968	3.344392	-1.4232	0.6858524	SDPR	serum deprivation response
217751_at	0.211	0.00228265	-3.3422	-1.4279	-0.2547302	GSTK1	glutathione S-transferase kappa 1
212853_at	0.211	0.00228301	3.342139	-1.4281	0.3751244	DCUN1D4	defective in cullin neddylation 1 domain containing 4
207198_s_at	0.211	0.00228675	3.341509	-1.4294	0.5097137	LIMS4///LIMS1	LIM zinc finger domain containing 4///LIM zinc finger domain containing 1
221049_s_at	0.211	0.00228871	-3.341179	-1.4301	-0.3286928	POLL	polymerase (DNA) lambda
213629_x_at	0.211	0.00230816	-3.337923	-1.4371	-0.3518428	MT1F	metallothionein 1F
214267_s_at	0.211	0.00230904	-3.337776	-1.4374	-0.3429053	CADM4	cell adhesion molecule 4
221940_at	0.211	0.00232055	-3.335861	-1.4415	-0.3388281	RPUSD2	RNA pseudouridylate synthase domain containing 2
203036_s_at	0.211	0.00234138	-3.332421	-1.4488	-0.4369147	MTSS1	metastasis suppressor 1
219308_s_at	0.211	0.00234514	3.331803	-1.4501	0.3650702	AK5	adenylate kinase 5
