description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Mitochondrial translation elongation	R-HSA-5389840	33	2208	87	10987	8.859793681384691e-05	0.009028908048014761	1.8874469015492255	0	MRPL47, MRPS31, TSFM, MRPS28, MRPL17, MRPL38, MRPS11, MRPL40, MRPL22, MRPL42, MRPL33, MRPL9, PTCD3, MRPL1, MRPL10, MRPL14, MRPL3, MRPL20, MRPL13, MRPL12, MRPL24, MRPS18B, MRPS10, DAP3, MRPL35, MRPS35, MRPL36, MRPL19, MRPS26, MRPL2, TUFM, AURKAIP1, GADD45GIP1
Influenza Infection	R-HSA-168255	52	2208	156	10987	6.529543782829915e-05	0.009028908048014761	1.658665458937198	0	RPL14, RPS27A, POLR2G, RPL22, RPL18A, RPS3, FAU, POLR2J, XPO1, KPNA1, RPS9, POLR2B, POLR2K, NUP37, RPS4Y1, HSP90AA1, RPL8, RPL36, RAE1, RPS16, RPL5, RPL28, RPL3L, RPL17, HSPA1A, RPL13, TGFB1, RPL27A, RPS3A, RPL29, POM121, RPS28, NUP43, RPL9, RAN, RPL36A, NUP62, IPO5, SLC25A6, RPL7A, RPL11, NUP214, NUP133, POLR2C, RPS4Y2, RPS8, GRSF1, RPL21, NUP155, RPLP0, RPL10L, KPNA4
Phosphorylation of CD3 and TCR zeta chains	R-HSA-202427	13	2208	22	10987	6.699543004878312e-05	0.009028908048014761	2.9403614953886694	0	HLA-DRB1, PTPN22, HLA-DRA, CD3D, HLA-DPB1, CD4, CD3E, HLA-DRB3, HLA-DPA1, HLA-DQA2, CD3G, HLA-DQB2, PTPRC
Mitochondrial translation initiation	R-HSA-5368286	33	2208	87	10987	8.859793681384691e-05	0.009028908048014761	1.8874469015492255	0	MRPL47, MRPS31, MRPS28, MRPL17, MRPL38, MRPS11, MRPL40, MRPL22, MRPL42, MRPL33, MRPL9, PTCD3, MRPL1, MRPL10, MRPL14, MRPL3, MRPL20, MTIF2, MRPL13, MRPL12, MRPL24, MRPS18B, MRPS10, DAP3, MRPL35, MRPS35, MRPL36, MRPL19, MRPS26, MRPL2, MTFMT, AURKAIP1, GADD45GIP1
Ovarian tumor domain proteases	R-HSA-5689896	19	2208	39	10987	5.6998763971656274e-05	0.009028908048014761	2.424203363062059	0	TRIM4, RPS27A, MAVS, VCPIP1, ZRANB1, UBC, OTUD3, NOD1, UBB, TP53, TNFAIP3, UBE2D1, RIPK2, IFIH1, OTUD7B, TNIP1, OTUD7A, TNIP2, OTUB1
Translocation of ZAP-70 to Immunological synapse	R-HSA-202430	12	2208	19	10987	5.1444764485077873e-05	0.009028908048014761	3.142734553775744	0	HLA-DRB1, PTPN22, HLA-DRA, CD3D, HLA-DPB1, CD4, CD3E, HLA-DRB3, HLA-DPA1, HLA-DQA2, CD3G, HLA-DQB2
Regulation of expression of SLITs and ROBOs	R-HSA-9010553	55	2208	170	10987	0.00010168643507853321	0.009028908048014761	1.6098811807331628	0	PSMD14, RPL14, PSME1, RPS27A, PSMB3, RPL22, RPL18A, RPS3, PSMC5, FAU, PSMD10, RBM8A, USP33, UPF3B, ETF1, RPS9, UBC, LHX3, RPS4Y1, RPL8, RPL36, RPS16, RPL5, RPL28, PSMA5, UBB, RPL3L, PSMC6, PSMA4, RPL17, PSMD3, PSMD4, PSMB4, RPL13, RPL27A, RPS3A, RPL29, PSMC1, RPS28, RPL9, RPL36A, RPL7A, PSMA6, RPL11, PSMC3, EIF4G1, PSMA7, LDB1, RPS4Y2, UPF3A, RPS8, RPL21, RPLP0, PSMD6, RPL10L
Antigen processing: Ubiquitination & Proteasome degradation	R-HSA-983168	89	2208	307	10987	0.00010156077571563785	0.009028908048014761	1.4425526955577583	0	UBE2H, PSMD14, TRIM4, PSME1, CDC20, RPS27A, DZIP3, KLHL21, TRIM37, GAN, PSMB3, ASB7, PSMC5, PSMD10, UBE2V2, CUL5, HERC6, UBE2F, ANAPC5, CDC26, KBTBD8, HACE1, KLHL13, ASB4, UBC, PJA2, FBXO11, KEAP1, HECTD1, KBTBD13, FBXO9, PSMA5, UBB, PSMC6, FBXO21, KLHL25, PSMA4, FBXL4, UBE2E3, HERC4, PSMD3, FBXO32, ASB14, ARIH2, UBE2M, PSMD4, PSMB4, FBXO2, UBA7, UBE2D1, CDC27, UBE2B, PSMC1, MKRN1, FBXW4, KLHL41, FBXO40, ASB11, UBE2E1, UBE2W, NPEPPS, TRIM63, KLHL9, SMURF2, HECW2, KBTBD6, PSMA6, PSMC3, UBE2Q2, FBXL3, PSMA7, UBE2D3, FBXL19, UBE3A, UBE4A, AREL1, ASB15, ASB16, THOP1, ASB5, TRIP12, TRIM71, FBXO17, ZNRF2, TRIM41, UBE2J1, PSMD6, ASB18, RNF126
Downstream TCR signaling	R-HSA-202424	36	2208	97	10987	7.360206806656451e-05	0.009028908048014761	1.8467615419094574	0	PSMD14, PSME1, HLA-DRB1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, HLA-DRA, PSMD3, PSMD4, PSMB4, CD3D, CHUK, HLA-DPB1, UBE2D1, CD4, PSMC1, TRAT1, CD3E, BCL10, RIPK2, HLA-DRB3, PDPK1, PSMA6, PSMC3, PSMA7, HLA-DPA1, HLA-DQA2, CD3G, HLA-DQB2, PSMD6
APC/C:Cdc20 mediated degradation of Securin	R-HSA-174154	27	2208	66	10987	8.539996537022564e-05	0.009028908048014761	2.0356348814229253	0	PSMD14, PSME1, CDC20, RPS27A, PSMB3, PSMC5, PSMD10, ANAPC5, CDC26, UBC, ANAPC15, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, UBE2E1, PSMA6, PSMC3, PSMA7, ANAPC16, PSMD6
Autodegradation of Cdh1 by Cdh1:APC/C	R-HSA-174084	26	2208	62	10987	6.98836913862516e-05	0.009028908048014761	2.0867081580177653	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, ANAPC5, CDC26, UBC, ANAPC15, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, UBE2E1, PSMA6, PSMC3, PSMA7, ANAPC16, PSMD6
Metabolism of proteins	R-HSA-392499	475	2208	2054	10987	9.86947587580197e-05	0.009028908048014761	1.1507294444914835	0	DCTN2, TRAM1, DYNC1LI2, UBE2H, PSMD14, COPS2, TRIM4, COPS5, RPL14, CCN1, FBN1, PSME1, CDC20, NARS1, COMMD6, RPS27A, IGFBP6, DARS2, KLHL21, EIF3F, PCSK1, CCT5, SERPINA1, CLPX, GAN, CD59, POMT1, SOCS5, RABGGTB, PSMB3, RPL22, ASB7, RABGGTA, RPL18A, ABRAXAS2, MAVS, NDUFS3, RPS3, PSMC5, RAB40A, SUDS3, WARS1, SOCS6, TRAPPC2, LMAN2, FAU, PSMD10, MBD1, UBE2V2, MFGE8, EXOC5, MRPL47, NAPB, CUL5, RAB10, H3C11, GATA4, APOB, EIF4A2, UBE2F, COPS6, H2BC15, NDUFS1, MRPS31, H2BC7, TSFM, EIF4B, USP33, EDEM2, RAB31, BDH1, LARGE2, LYZ, BRCA1, VCPIP1, MYSM1, NLRP3, DPM2, LTBP1, KBTBD8, ZRANB1, ZBED1, ETF1, RAB30, USP16, DHPS, KLHL13, ASB4, SEC24C, CCT4, PDIA6, MRPS28, H2BC9, RPS9, SUMO3, EIF2S1, UBC, MRPL17, FBXO11, SSR2, PIGM, KEAP1, DLD, PROS1, ST6GAL1, TOP1, HSPD1, RNF144A, DLST, ADA2, USP44, CCT7, RCCD1, MRPL38, KNG1, CBX5, KBTBD13, IARS2, NDUFB6, NUP37, PSENEN, RPS4Y1, MRPS11, NDUFA13, OTUD3, YARS1, FBXO9, NPL, H2BC18, ST6GALNAC2, MRPL40, PAF1, RPL8, SQSTM1, SAR1B, MRPL22, NOD1, SENP5, LARS1, TMED2, ALPG, EEF1AKMT1, FUCA1, ARFGAP2, CAPZA2, MAT2B, RAB7A, RBBP5, RPL36, TSPAN33, DYNC1I2, RAE1, RPS16, RPL5, IGFALS, PIGB, EIF4EBP1, SUMF1, RPL28, STAT3, PSMA5, UBB, TRAPPC1, RAD21, GFM2, RPL3L, PSMC6, MRPL42, DOHH, FBXO21, TPGS1, KLHL25, PEX5, H2BC14, PSMA4, RPL17, FBXL4, CMAS, SSR4, INO80B, RRAGA, UBE2E3, ACTL6A, AMER1, CAPZB, CUL9, ACAT1, COG2, MRPL33, TP53, TNFAIP3, PSMD3, COMMD8, GNE, MRPL9, FBXO32, PIGF, INO80D, NCSTN, ASB14, AARS1, DCUN1D5, PTCD3, AGT, SEC24D, UBE2M, PSMD4, SPTB, STARD7, SEC23IP, ANK3, CARS1, MRPL1, PSMB4, GNG10, MRPL10, SLC35A1, FBXO2, SRP19, MRPL14, GALNT15, GATA3, RPL13, WDR48, CUL4A, MRPL3, UCHL3, HNRNPC, NPM1, RAD52, UBE2D1, MRPL20, ACTR10, SKIC8, ACE2, LIPT1, TGFB1, BAP1, RPL27A, NAGK, ALG10B, SUMO1, RPS3A, EIF3M, MTIF2, UBE2B, RPL29, ATP5F1A, GNG7, MRPL13, MRPL12, AFG3L2, CSF2RA, H4C5, PIAS3, OGFOD1, MUL1, INHBB, ANPEP, IARS1, PSMC1, UCN, IKBKE, MRPL24, HADH, USP47, HRC, SUMF2, FBXW4, ADAMTSL4, ADGRF5, ACOT2, KLHL41, TTL, THY1, TTLL1, COMMD10, LAMB2, FBXO40, OXCT1, ATXN3, QARS1, GLUD1, LYPD2, ASB11, POM121, MRPS18B, ATP5F1B, GNAQ, UBE2E1, COG1, TRAPPC10, UBE2W, HCFC1, RPS28, NUS1, TULP4, SENP1, NUP43, RAB2A, TMED10, BCL10, TARS1, MRPS10, RPL9, SPARCL1, MTRF1L, MYO5A, IDH3A, KLHL9, DAP3, PIGU, XPNPEP2, KDELR3, MRPL35, SMURF2, TPGS2, EIF2B5, MUC5B, FOLR2, NEURL2, SNX3, ACTB, MRPS35, RPL36A, EEF1A2, ALG13, DCUN1D2, PGA3, RIPK2, TRAPPC4, KBTBD6, KLK3, NUP62, ART3, UBD, SLC25A6, AGBL1, OMA1, ALG11, ATP5PD, PARS2, TOMM70, B4GAT1, ALDH18A1, MBD5, RPL7A, KAT2B, SYVN1, ADAMTS7, CCP110, PDHA1, PSMA6, HMGCS2, B3GNT2, NSMCE2, RPL11, LAMC1, SEC22B, MRPL36, PSMC3, CCT6A, ALAS1, KDELR1, UBE2Q2, MRPL19, MRPS26, EIF4G1, DCAF8, EIF5A, FBXL3, MRPL2, ATP5MG, MUC16, PSMA7, MBD6, H4C15, COG4, IGFBP2, RTF1, UBE2D3, FCSK, FBXL19, RAB18, SHISA5, JMJD6, RPA1, SRP68, DPH5, DDB1, SEC22C, ARFGAP1, AGBL2, ATP5PO, NUP214, FKBP8, EXOC7, ARSG, ALG3, CCT2, ASB15, ASB16, IFIH1, SPCS1, CTSC, NUP133, GORASP1, TCP1, PIGT, NOTUM, MTFMT, GSN, MANEA, ASB5, ADAMTS17, USP13, RAB22A, RPS4Y2, TRIM28, PIGS, CNIH1, SARS1, FBXO17, EEF1D, FOXO4, KIF5B, FGA, RPS8, THSD1, TUFM, FEM1A, USP30, AURKAIP1, EEF1AKMT2, TBCA, RAD18, USP12, XRN2, LMAN2L, MGAT1, OGDH, CD52, OTUD7B, COX4I1, ARSA, RAB15, RPL21, GPAA1, NUP155, UQCRC2, RPLP0, MGAT4A, H4C2, PSMD6, B3GNT6, TBC1D20, SAE1, RPL10L, ST6GALNAC4, STAG1, TNIP1, ASB18, GADD45GIP1, UIMC1, GMPPA, OTUD7A, TNIP2, TNKS2, RNF185, NANP, ATXN7, WDR5, DPH6, OTUB1, GH1
